"lig_id";"lig_pu";"lig_qua";"lig_rem";"lig_com_id";"lig_pro_id"
"1";"7600.990";"2";"20";"37";"10"
"2";"502.000";"8";"2";"31";"17"
"3";"202.990";"9";"4";"31";"6"
"4";"446.000";"5";"4";"35";"15"
"5";"179.000";"1";"2";"25";"16"
"6";"467.000";"7";"8";"6";"19"
"7";"784.000";"1";"7";"13";"15"
"8";"911.000";"8";"6";"49";"17"
"9";"809.000";"1";"10";"34";"7"
"10";"160.990";"2";"10";"49";"12"
"11";"509.900";"9";"4";"21";"19"
"12";"289.890";"6";"7";"43";"21"
"13";"492.000";"5";"3";"20";"14"
"14";"631.000";"6";"6";"14";"21"
"15";"754.900";"9";"2";"34";"14"
"16";"607.000";"4";"2";"14";"20"
"17";"715.990";"4";"7";"10";"5"
"18";"285.000";"1";"7";"34";"20"
"19";"791.900";"9";"4";"2";"1"
"20";"583.000";"5";"4";"14";"18"
"21";"317.890";"3";"4";"4";"3"
"22";"381.900";"4";"5";"20";"2"
"23";"739.670";"2";"1";"9";"1"
"24";"275.000";"6";"5";"25";"6"
"25";"255.000";"7";"6";"3";"14"
"26";"665.890";"9";"4";"33";"16"
"27";"420.990";"10";"6";"49";"9"
"28";"933.900";"1";"6";"41";"20"
"29";"573.000";"7";"8";"37";"4"
"30";"628.900";"5";"8";"50";"15"
